,City,Cloudiness,Country,Date,Humidity,Latitude,Longitude,Max Temp,Wind Speed
139,Krapina,0,HR,1551486650,89,46.16,15.87,41.0,1.12
140,Thomastown,20,IE,1551486603,100,52.53,-7.14,50.0,3.0
141,Matara,68,PE,1551486673,90,-13.74,-72.9,46.87,2.01
142,Tual,64,ID,1551486673,100,-5.67,132.75,81.7,13.65
143,Arman,0,RU,1551486674,59,59.7,150.17,3.94,8.95
144,Bismarck,32,US,1551486521,92,46.81,-100.78,12.99,5.82
145,Nizhneangarsk,36,RU,1551486678,66,55.78,109.57,5.83,1.9
146,Qasigiannguit,24,GL,1551484200,47,68.82,-51.19,33.8,17.22
147,Bartica,20,GY,1551484800,88,6.41,-58.62,75.2,6.93
148,Ambulu,32,ID,1551486679,100,-8.35,113.61,78.91,0.56
149,Bethel,90,US,1551486000,100,60.79,-161.76,37.4,12.75
150,Lalibela,0,ET,1551486680,97,12.04,39.05,48.04,2.13
151,Baghdad,0,IQ,1551484800,84,33.3,44.38,44.6,3.36
152,Srednekolymsk,80,RU,1551486681,59,67.46,153.71,-12.63,5.48
153,Byron Bay,40,AU,1551486616,65,-28.65,153.62,80.01,12.75
154,Waitati,0,NZ,1551486558,77,-45.75,170.57,61.27,3.36
155,Sydney,75,AU,1551486560,57,-33.85,151.22,82.99,4.7
156,Igarka,80,RU,1551486686,84,67.47,86.57,10.73,18.12
157,Aswan,0,EG,1551481200,32,24.09,32.9,51.8,5.82
158,Te Anau,0,NZ,1551486688,51,-45.41,167.72,62.8,3.58
159,Erdenet,0,MN,1551486691,69,49.03,104.04,15.28,6.49
160,Ojinaga,1,US,1551485771,14,29.56,-104.41,82.4,3.13
161,Bloomfield,90,US,1551486563,74,40.81,-74.19,36.0,5.59
162,Oranjemund,0,ZA,1551486693,89,-28.55,16.43,63.61,18.68
163,Mount Gambier,0,AU,1551484800,17,-37.83,140.78,93.2,14.99
164,Vila Franca do Campo,40,PT,1551486675,87,37.72,-25.43,60.8,16.11
165,Kruisfontein,36,ZA,1551486693,89,-34.0,24.73,61.45,5.7
166,Ancud,20,CL,1551484800,76,-41.87,-73.83,55.4,8.05
167,Cascavel,0,BR,1551484800,73,-24.96,-53.44,71.6,4.7
168,Jamestown,0,AU,1551486579,29,-33.21,138.6,87.5,7.94
169,Fortuna,0,ES,1551486656,81,38.18,-1.13,57.99,5.82
170,Tuktoyaktuk,5,CA,1551484800,70,69.44,-133.03,-4.01,18.34
171,Bluff,0,AU,1551486695,49,-23.58,149.07,81.61,12.75
172,Ibipeba,56,BR,1551486607,89,-11.64,-42.01,70.63,1.79
173,Xinxiang,56,CN,1551486695,85,35.3,113.88,39.04,1.45
174,Georgetown,20,GY,1551481200,83,6.8,-58.16,77.0,6.93
175,Esmeralda,0,CL,1551486697,64,-34.33,-70.9,66.76,2.13
176,Port Blair,12,IN,1551486697,100,11.67,92.75,81.2,9.73
177,Eureka,90,US,1551486508,76,40.8,-124.16,51.01,3.36
178,Nampa,75,US,1551486694,56,43.57,-116.56,44.6,11.41
179,Santa Cruz,92,US,1551486554,54,36.97,-122.03,61.0,4.7
180,Lesnoye,92,RU,1551485027,95,51.57,42.77,32.0,14.0
181,Viedma,68,AR,1551486511,77,-40.81,-62.99,59.83,19.69
182,Ilulissat,24,GL,1551484200,47,69.22,-51.1,33.8,17.22
183,Itarema,24,BR,1551486701,92,-2.92,-39.92,76.7,5.37
184,Pevek,64,RU,1551486701,95,69.7,170.27,-0.03,4.14
185,Dingle,24,PH,1551486702,81,11.0,122.67,75.22,11.07
186,Zhezkazgan,88,KZ,1551486703,77,47.8,67.71,24.82,7.94
187,Moyale,0,ET,1551486706,80,3.52,39.05,62.8,2.68
188,Santa catarina de Tepehuanes,0,MX,1551486706,15,25.34,-105.72,71.62,5.93
189,Nome,90,US,1551486687,77,30.04,-94.42,66.2,3.36
190,Saskylakh,8,RU,1551486707,43,71.97,114.09,-27.97,3.36
191,Vestmannaeyjar,92,IS,1551486577,100,63.44,-20.27,38.18,8.95
192,Pala,75,IN,1551484800,88,9.71,76.68,78.8,2.24
193,Koulikoro,0,ML,1551484800,15,12.86,-7.56,66.2,6.93
194,Sao Filipe,0,CV,1551486707,87,14.9,-24.5,72.43,17.22
195,Dera Ghazi Khan,92,PK,1551486708,95,30.03,70.64,54.65,9.28
196,Biankouma,0,CI,1551486708,60,7.74,-7.61,66.08,3.58
197,Beringovskiy,12,RU,1551486709,88,63.05,179.32,26.44,18.57
198,Maragogi,32,BR,1551486710,90,-9.01,-35.22,77.83,4.81
199,Mineros,40,BO,1551484800,83,-17.12,-63.23,77.0,4.7
200,Diego de Almagro,0,CL,1551486711,62,-26.39,-70.05,68.33,2.68
201,Ahipara,0,NZ,1551486711,62,-35.17,173.16,73.69,9.62
202,Sargatskoye,68,RU,1551486711,86,55.6,73.49,13.3,8.39
203,Husavik,0,CA,1551486605,67,50.56,-96.99,3.99,4.36
204,Scalea,24,IT,1551485954,83,39.82,15.79,54.0,5.59
205,Tabou,44,CI,1551486714,95,4.42,-7.36,83.63,6.71
206,Mount Isa,0,AU,1551484800,42,-20.73,139.49,86.0,11.41
207,Kodiak,1,US,1551486702,42,39.95,-94.76,35.01,4.7
208,Abu Dhabi,40,AE,1551484800,42,24.47,54.37,66.2,20.8
209,Ugoofaaru,0,MV,1551486716,100,5.67,73.0,81.38,8.16
210,Hasaki,20,JP,1551485975,46,35.73,140.83,50.0,16.11
211,Vao,32,EE,1551486717,84,59.1,26.19,12.31,5.93
212,Manama,20,AE,1551484800,48,25.33,56.02,68.0,21.92
213,Cayenne,100,GF,1551484800,74,4.94,-52.33,78.8,9.17
214,Mahebourg,40,MU,1551486539,88,-20.41,57.7,80.6,9.17
215,Tselinnoye,32,UA,1551486719,81,45.9,34.18,32.83,11.41
216,Tiksi,48,RU,1551486721,69,71.64,128.87,-10.29,2.91
217,Jalu,24,LY,1551486723,62,29.03,21.55,45.07,5.14
218,Orapa,56,BW,1551486724,52,-21.28,25.37,76.3,8.61
219,Constitucion,5,MX,1551486615,11,23.99,-104.67,78.8,17.22
220,Ewa Beach,90,US,1551486697,56,21.32,-158.01,75.2,8.05
221,Black River,40,JM,1551485821,65,18.03,-77.85,78.8,3.36
222,Agirish,80,RU,1551486729,92,61.92,63.02,21.13,3.13
223,Hofn,92,IS,1551486731,100,64.25,-15.21,39.26,25.28
224,Bikin,0,RU,1551486733,53,46.82,134.25,23.2,3.36
225,Karratha,0,AU,1551486734,57,-20.74,116.85,84.08,4.36
226,Cabo San Lucas,5,MX,1551486323,53,22.89,-109.91,82.0,7.61
227,Fenoarivo,75,MG,1551484800,82,-18.93,47.44,68.0,8.05
228,Coolum Beach,92,AU,1551486698,62,-26.53,153.09,80.01,4.0
229,Kyrksaeterora,75,NO,1551486559,93,63.29,9.09,39.2,28.86
230,Birjand,75,IR,1551484800,93,32.86,59.22,39.2,3.91
231,Chuy,44,UY,1551486742,58,-33.69,-53.46,75.53,11.41
232,Coihaique,40,CL,1551484800,58,-45.58,-72.07,59.0,6.93
233,Tete,20,MZ,1551484800,88,-16.16,33.59,75.2,8.61
234,Enshi,92,CN,1551486744,99,30.29,109.48,39.35,3.58
235,Zhigansk,56,RU,1551486745,74,66.77,123.37,-6.78,3.58
236,Lata,88,IN,1551486747,69,30.78,78.62,35.44,2.35
237,Katsuura,20,JP,1551486282,70,33.93,134.5,48.0,6.93
238,Itoman,20,JP,1551486189,68,26.12,127.67,71.6,2.24
239,Sept-Iles,5,CA,1551486735,55,50.2,-66.38,15.01,8.05
240,Parana,75,BR,1551484800,100,-7.52,-72.89,75.2,2.57
241,Okhotsk,0,RU,1551486749,100,59.36,143.24,1.96,7.94
242,Flinders,75,AU,1551486731,73,-34.58,150.85,80.01,6.93
243,Awjilah,48,LY,1551486750,61,29.14,21.3,47.41,4.7
244,Ati,0,TD,1551486751,23,13.21,18.34,79.85,12.75
245,Bagdarin,12,RU,1551486754,51,54.44,113.59,1.73,2.35
246,Irtyshskiy,88,RU,1551486754,88,58.33,68.13,26.44,10.74
247,Penzance,92,GB,1551486647,100,50.12,-5.53,53.01,20.8
248,Coahuayana,0,MX,1551486755,28,18.62,-100.35,85.39,2.91
249,Jacareacanga,36,BR,1551486757,90,-6.22,-57.76,77.2,2.13
250,Hokitika,0,NZ,1551486757,82,-42.72,170.96,63.2,3.13
251,Rocha,0,UY,1551486757,50,-34.48,-54.34,72.52,10.18
252,Havoysund,0,NO,1551484200,66,71.0,24.66,12.2,8.05
253,Rio Grande,0,BR,1551486760,68,-32.03,-52.1,75.8,14.54
254,Marawi,68,PH,1551486760,96,8.0,124.29,69.55,1.12
255,Port Lincoln,8,AU,1551486760,82,-34.72,135.86,73.69,6.93
256,Labuhan,92,ID,1551486762,91,-2.54,115.51,75.08,0.89
257,Gashua,68,NG,1551486762,56,12.87,11.04,80.26,2.8
258,Norman Wells,5,CA,1551484800,54,65.28,-126.83,3.2,21.92
259,Zaysan,68,KZ,1551486762,62,47.47,84.87,13.25,2.91
260,Tabas,24,IR,1551486762,78,33.6,56.92,43.4,4.92
261,Szentgotthard,0,HU,1551486759,77,46.95,16.27,46.99,1.12
262,Dipalpur,92,PK,1551486764,71,30.67,73.65,54.11,11.41
263,Guarda,0,PT,1551486628,94,40.54,-7.27,44.01,3.91
264,Aktau,56,KZ,1551484800,100,43.65,51.16,28.4,2.24
265,Abu Samrah,24,SY,1551486766,91,35.3,37.18,44.44,8.61
266,Tarakan,40,ID,1551484800,78,3.3,117.63,80.6,3.36
267,Longido,92,TZ,1551486771,68,-2.73,36.7,65.86,3.58
268,Severo-Kurilsk,36,RU,1551486773,100,50.68,156.12,24.19,8.39
269,Billings,75,US,1551486400,78,45.79,-108.5,23.0,12.75
270,Cherskiy,68,RU,1551486773,77,68.75,161.3,-7.9,6.6
271,Kahului,40,US,1551486629,41,20.89,-156.47,78.01,11.41
272,Opuwo,0,NA,1551486774,90,-18.06,13.84,64.33,2.91
273,Xichang,0,CN,1551486776,22,27.88,102.25,37.96,1.9
274,Honningsvag,20,NO,1551486776,100,70.98,25.97,14.47,3.91
275,Veraval,90,FR,1551486718,93,49.65,0.71,48.2,9.17
276,Palmas de Monte Alto,48,BR,1551486777,86,-14.26,-43.16,73.33,5.7
277,Mangan,0,IN,1551486778,42,27.5,88.54,5.29,1.68
278,Northam,75,GB,1551486734,93,51.04,-4.21,51.01,13.87
279,Bethanien,0,NA,1551486780,37,-26.5,17.16,67.88,7.72
280,Genhe,44,CN,1551486782,64,50.78,121.52,8.48,2.68
281,Beira,40,ES,1551486751,87,43.2,-8.36,57.0,2.24
282,Porto Novo,75,BR,1551484800,100,-23.68,-45.44,71.6,3.36
283,Port-Gentil,40,GA,1551481200,94,-0.72,8.78,78.8,5.82
284,Uong Bi,75,VN,1551484800,94,21.03,106.78,73.4,2.24
285,Komyshuvakha,48,UA,1551486788,84,48.64,37.46,28.96,14.43
286,Talnakh,76,RU,1551486788,84,69.49,88.39,10.24,18.79
287,Tautira,40,PF,1551486784,66,-17.73,-149.15,87.8,6.93
288,Marsa Matruh,0,EG,1551481200,87,31.35,27.25,46.4,5.82
289,Santa Cruz Cabralia,0,BR,1551484800,74,-16.28,-39.02,82.4,10.29
290,Arraial do Cabo,40,BR,1551481200,94,-22.97,-42.02,75.2,4.7
291,Shetpe,56,KZ,1551486789,82,44.14,52.16,27.25,3.36
292,Bouna,36,CI,1551486789,34,9.27,-3.0,69.37,4.25
293,Klaksvik,88,FO,1551486000,100,62.23,-6.59,46.4,10.29
294,Fomboni,36,KM,1551486789,100,-12.28,43.74,82.69,7.38
295,Nemuro,75,JP,1551484800,100,43.32,145.57,32.0,11.41
296,Maceio,20,BR,1551484800,83,-9.67,-35.74,78.8,3.36
297,Aksha,0,RU,1551486790,55,50.28,113.29,7.31,2.68
298,Aksarka,44,RU,1551486790,59,66.56,67.8,-12.99,3.36
299,Mayo,5,CA,1551484800,57,63.59,-135.9,19.4,3.36
300,Finschhafen,32,PG,1551486791,83,-6.6,147.85,80.8,3.36
301,Cleburne,75,US,1551486686,75,32.35,-97.39,46.99,8.05
302,San Francisco,90,US,1551486260,62,37.78,-122.42,57.0,4.7
303,Mitu,20,IR,1551486793,80,36.2,46.09,24.55,3.58
304,Souillac,90,FR,1551486789,93,45.6,-0.6,46.99,6.93
305,Tevaitoa,88,PF,1551486794,100,-16.78,-151.5,81.65,7.61
306,Luderitz,0,NA,1551486763,75,-26.65,15.16,63.38,18.01
307,Amapa,20,HN,1551486608,65,15.09,-87.97,82.4,13.87
308,Jiwani,88,PK,1551486795,95,25.05,61.74,69.55,22.37
309,Padang,40,ID,1551484800,100,-0.92,100.36,75.2,2.24
310,Channel-Port aux Basques,44,CA,1551486530,100,47.57,-59.14,22.16,31.32
311,Cockburn Town,12,TC,1551486629,97,21.46,-71.14,78.01,16.67
312,Kupang,40,ID,1551481200,78,-10.16,123.6,82.4,3.36
313,Pachperwa,12,IN,1551486799,84,27.52,82.65,45.83,2.91
314,Haimen,92,CN,1551486782,84,31.87,121.18,46.99,1.01
315,Abbeville,90,FR,1551486682,93,50.11,1.83,46.99,4.7
316,Merauke,48,ID,1551486615,100,-8.49,140.4,80.62,5.59
317,Andilamena,80,MG,1551486800,95,-17.01,48.57,68.02,4.14
318,Shasta Lake,90,US,1551486800,65,40.68,-122.36,55.4,2.68
319,Bereda,40,ES,1551486673,87,43.27,-7.54,57.0,2.24
320,Nosy Varika,92,MG,1551486802,94,-20.58,48.53,80.35,1.68
321,Qaqortoq,44,GL,1551484200,29,60.72,-46.03,39.2,17.22
322,Roald,88,NO,1551486690,64,62.58,6.12,39.99,13.87
323,Lakes Entrance,0,AU,1551486782,34,-37.88,147.99,91.0,3.0
324,Tamandare,12,BR,1551486803,94,-8.28,-70.75,73.78,2.57
325,Yermish,64,RU,1551486804,88,54.77,42.27,23.29,11.74
326,Batagay,64,RU,1551486805,40,67.65,134.64,-26.8,2.91
327,Pandharpur,0,IN,1551486805,51,17.68,75.33,57.49,2.35
328,Broome,88,GB,1551486803,87,52.47,1.45,46.0,6.93
329,Brae,88,GB,1551484200,93,60.4,-1.35,44.6,9.17
330,Shingu,0,JP,1551484800,39,33.72,135.99,48.2,3.36
331,Bundaberg,40,AU,1551486613,83,-24.87,152.35,78.01,17.22
332,Porbandar,0,IN,1551486583,79,21.64,69.61,65.32,3.36
333,La Ronge,75,CA,1551484800,63,55.1,-105.3,-5.81,6.93
334,Vikulovo,80,RU,1551486818,91,55.07,40.96,23.56,14.09
335,Conde,76,BR,1551486829,87,-11.81,-37.61,80.71,8.16
336,Igrim,80,RU,1551486830,88,63.19,64.42,14.11,2.57
337,Strezhevoy,0,RU,1551484800,85,60.73,77.6,12.2,8.95
338,Nador,0,MA,1551484800,67,35.17,-2.93,60.8,11.41
339,Port Hardy,20,CA,1551484800,76,50.7,-127.42,42.8,2.24
340,Santana do Matos,76,BR,1551486831,82,-5.95,-36.65,74.14,5.93
341,Sesheke,0,NA,1551486832,67,-17.47,24.29,69.1,2.13
342,Rincon,1,US,1551486795,88,32.3,-81.24,64.99,10.07
343,Neosho,90,US,1551486834,53,43.31,-88.52,28.99,1.45
344,Sangamner,0,IN,1551486835,68,19.57,74.2,54.56,3.13
345,Bud,92,NO,1551486690,64,62.91,6.91,39.99,20.8
346,Gorlice,68,PL,1551486753,69,49.66,21.16,34.0,6.6
347,Ventspils,75,LV,1551484200,73,57.39,21.56,26.6,4.7
348,Paka,0,HR,1551484800,75,45.29,18.06,42.8,5.82
349,Moa,0,CU,1551486838,84,20.66,-74.95,71.62,3.58
350,Lerwick,92,GB,1551484200,87,60.15,-1.15,44.6,12.75
351,Fukue,0,JP,1551486820,100,35.03,136.69,50.0,16.11
352,Medicine Hat,75,CA,1551486747,63,50.04,-110.68,-6.0,17.22
353,Esperance,20,TT,1551486718,78,10.24,-61.45,78.01,6.93
354,Quang Ngai,8,VN,1551486843,87,15.12,108.8,62.62,2.13
355,Salalah,0,OM,1551484200,78,17.01,54.1,77.0,1.12
356,Kudahuvadhoo,12,MV,1551486844,100,2.67,72.89,81.34,10.18
357,Corning,90,US,1551486813,64,42.14,-77.05,35.6,3.36
358,Saint George,0,GR,1551486802,75,39.45,22.34,51.01,4.14
359,Sabaudia,40,IT,1551486847,93,41.3,13.03,53.01,4.7
360,Ouallam,12,NE,1551486852,18,14.32,2.08,62.62,8.61
361,Yar-Sale,36,RU,1551486853,81,66.83,70.83,-5.25,2.8
362,Sharlyk,80,RU,1551486854,95,52.93,54.74,31.43,16.22
363,Los Llanos de Aridane,36,ES,1551486698,68,28.66,-17.92,64.4,11.41
364,Fort Dodge,90,US,1551486697,85,42.5,-94.17,28.0,5.82
365,Pocone,20,BR,1551486799,85,-16.26,-56.62,78.91,5.37
366,Muros,90,ES,1551486826,100,42.77,-9.06,57.99,4.7
367,Banovici,75,BA,1551484800,93,44.41,18.52,50.0,4.7
368,Balkhash,64,KZ,1551486857,89,46.84,74.98,31.16,6.93
369,Elk Point,75,CA,1551484800,43,53.9,-110.9,-5.81,11.41
370,Ovsyanka,12,RU,1551486860,64,53.58,126.91,8.08,2.57
371,Cascais,40,PT,1551486799,93,38.7,-9.42,57.99,12.75
372,Rudnogorsk,44,RU,1551486860,77,57.27,103.75,19.28,6.15
373,Alexandria,90,US,1551486727,82,31.31,-92.44,60.01,2.91
